gene_id,gene_type,gene_short_name
ENSMUSG00000085022.2,lincRNA,Gm5860
ENSMUSG00000008575.17,protein_coding,Nfib
ENSMUSG00000087413.1,antisense,Gm11266
ENSMUSG00000084851.1,sense_intronic,Gm11267
ENSMUSG00000028403.15,protein_coding,Zdhhc21
ENSMUSG00000038192.5,protein_coding,Cer1
ENSMUSG00000059049.14,protein_coding,Frem1
ENSMUSG00000038172.14,protein_coding,Ttc39b
ENSMUSG00000096801.1,snRNA,Gm23412
ENSMUSG00000086321.1,antisense,Gm11413
ENSMUSG00000087592.1,lincRNA,Gm11184
ENSMUSG00000028483.13,protein_coding,Snapc3
ENSMUSG00000028484.16,protein_coding,Psip1
ENSMUSG00000052407.16,protein_coding,Ccdc171
ENSMUSG00000080793.1,processed_pseudogene,Cbx3-ps3
ENSMUSG00000087378.1,lincRNA,Gm12414
ENSMUSG00000028487.18,protein_coding,Bnc2
ENSMUSG00000083743.1,processed_pseudogene,Gm12421
ENSMUSG00000038070.15,protein_coding,Cntln
ENSMUSG00000083139.1,processed_pseudogene,Gm12418
ENSMUSG00000028488.15,protein_coding,Sh3gl2
ENSMUSG00000066113.16,protein_coding,Adamtsl1
ENSMUSG00000064687.1,snRNA,Gm25811
ENSMUSG00000028492.13,protein_coding,Saxo1
ENSMUSG00000070934.6,protein_coding,Rraga
ENSMUSG00000038047.18,protein_coding,Haus6
ENSMUSG00000081169.1,unprocessed_pseudogene,Gm12551
ENSMUSG00000028494.12,protein_coding,Plin2
ENSMUSG00000038024.17,protein_coding,Dennd4c
ENSMUSG00000028495.14,protein_coding,Rps6
ENSMUSG00000038007.14,protein_coding,Acer2
ENSMUSG00000037996.17,protein_coding,Slc24a2
ENSMUSG00000082443.1,processed_pseudogene,Gm12604
ENSMUSG00000028496.17,protein_coding,Mllt3
ENSMUSG00000084809.1,antisense,Gm12631
ENSMUSG00000038368.16,protein_coding,Focad
ENSMUSG00000070077.2,miRNA,Mir491
ENSMUSG00000028497.12,protein_coding,Hacd4
ENSMUSG00000078480.3,processed_pseudogene,Mrpl48-ps
ENSMUSG00000070923.4,protein_coding,Klhl9
ENSMUSG00000086074.1,antisense,Gm13274
ENSMUSG00000085183.1,lincRNA,Gm12603
ENSMUSG00000085569.1,processed_transcript,Gm12602
ENSMUSG00000062937.7,protein_coding,Mtap
ENSMUSG00000107513.1,processed_pseudogene,Tgif2-ps1
ENSMUSG00000087659.7,lincRNA,Gm12606
ENSMUSG00000044303.6,protein_coding,Cdkn2a
ENSMUSG00000073802.4,protein_coding,Cdkn2b
ENSMUSG00000085147.1,processed_transcript,Gm12609
ENSMUSG00000086035.1,processed_transcript,Gm12610
ENSMUSG00000043753.2,protein_coding,Dmrta1
ENSMUSG00000008489.18,protein_coding,Elavl2
ENSMUSG00000083377.1,processed_pseudogene,Gm12653
ENSMUSG00000098563.1,miRNA,Mir6402
ENSMUSG00000086042.1,lincRNA,Gm12670
ENSMUSG00000054000.5,protein_coding,Tusc1
ENSMUSG00000084833.1,lincRNA,Gm12649
ENSMUSG00000085931.1,lincRNA,Gm12648
ENSMUSG00000087128.7,processed_transcript,Gm12655
ENSMUSG00000028578.8,protein_coding,Caap1
ENSMUSG00000070900.1,protein_coding,Gm10306
ENSMUSG00000028577.13,protein_coding,Plaa
ENSMUSG00000028576.12,protein_coding,Ift74
ENSMUSG00000049799.13,protein_coding,Lrrc19
ENSMUSG00000006386.15,protein_coding,Tek
ENSMUSG00000028575.11,protein_coding,Eqtn
ENSMUSG00000062627.9,protein_coding,Mysm1
ENSMUSG00000086251.1,antisense,Gm12694
ENSMUSG00000052767.5,processed_transcript,Gm12703
ENSMUSG00000052684.4,protein_coding,Jun
ENSMUSG00000087366.7,antisense,Junos
ENSMUSG00000084918.1,lincRNA,Gm12708
ENSMUSG00000084939.2,processed_transcript,Gm830
ENSMUSG00000028573.18,protein_coding,Fggy
ENSMUSG00000044125.6,processed_transcript,9530080O11Rik
ENSMUSG00000028572.13,protein_coding,Hook1
ENSMUSG00000028571.15,protein_coding,Cyp2j13
ENSMUSG00000081225.3,protein_coding,Cyp2j12
ENSMUSG00000081362.3,protein_coding,Cyp2j7
ENSMUSG00000084286.1,unprocessed_pseudogene,Cyp2j15-ps
ENSMUSG00000066097.6,protein_coding,Cyp2j11
ENSMUSG00000082119.1,unprocessed_pseudogene,Cyp2j14-ps
ENSMUSG00000082932.3,protein_coding,Cyp2j8
ENSMUSG00000052914.4,protein_coding,Cyp2j6
ENSMUSG00000015224.10,protein_coding,Cyp2j9
ENSMUSG00000052520.7,protein_coding,Cyp2j5
ENSMUSG00000078639.1,protein_coding,Gm12695
ENSMUSG00000084159.1,processed_pseudogene,Gm12696
ENSMUSG00000048747.14,protein_coding,E130114P18Rik
ENSMUSG00000085710.1,processed_transcript,Gm12676
ENSMUSG00000028565.18,protein_coding,Nfia
ENSMUSG00000081096.1,processed_pseudogene,Gm12691
ENSMUSG00000046683.16,antisense,0610025J13Rik
ENSMUSG00000028563.16,protein_coding,Tm2d1
ENSMUSG00000061859.16,protein_coding,Patj
ENSMUSG00000081046.1,processed_pseudogene,Gm12846
ENSMUSG00000087166.9,protein_coding,L1td1
ENSMUSG00000035407.8,protein_coding,Kank4
ENSMUSG00000085843.1,antisense,Kank4os
ENSMUSG00000028560.11,protein_coding,Usp1
ENSMUSG00000028556.15,protein_coding,Dock7
ENSMUSG00000028553.12,protein_coding,Angptl3
ENSMUSG00000081733.1,processed_pseudogene,Gm12852
ENSMUSG00000087395.1,antisense,Gm12705
ENSMUSG00000086498.1,lincRNA,Gm12681
ENSMUSG00000028550.15,protein_coding,Atg4c
ENSMUSG00000104479.1,TEC,Gm10305
ENSMUSG00000070891.2,protein_coding,Gm12689
ENSMUSG00000086096.1,lincRNA,Gm12688
ENSMUSG00000067261.4,protein_coding,Foxd3
ENSMUSG00000086592.1,antisense,Gm12682
ENSMUSG00000073792.11,protein_coding,Alg6
ENSMUSG00000028549.17,protein_coding,Itgb3bp
ENSMUSG00000073791.11,protein_coding,Efcab7
ENSMUSG00000025791.18,protein_coding,Pgm2
ENSMUSG00000035305.5,protein_coding,Ror1
ENSMUSG00000086385.1,sense_intronic,Gm12701
ENSMUSG00000069733.11,protein_coding,Ube2u
ENSMUSG00000085871.1,antisense,Ube2uos
ENSMUSG00000081553.1,processed_pseudogene,Ccdc50-ps
ENSMUSG00000028532.14,protein_coding,Cachd1
ENSMUSG00000035275.14,protein_coding,Raver2
ENSMUSG00000028530.14,protein_coding,Jak1
ENSMUSG00000082928.1,processed_pseudogene,Gm12785
ENSMUSG00000085721.1,lincRNA,Gm12796
ENSMUSG00000086782.2,lincRNA,E130102H24Rik
ENSMUSG00000087361.7,lincRNA,0610043K17Rik
ENSMUSG00000084758.1,lincRNA,Gm12798
ENSMUSG00000028527.18,protein_coding,Ak4
ENSMUSG00000028528.16,protein_coding,Dnajc6
ENSMUSG00000035212.14,protein_coding,Leprot
ENSMUSG00000057722.17,protein_coding,Lepr
ENSMUSG00000046133.3,protein_coding,C130073F10Rik
ENSMUSG00000078626.2,protein_coding,Gm12790
ENSMUSG00000028525.16,protein_coding,Pde4b
ENSMUSG00000028524.21,protein_coding,Sgip1
ENSMUSG00000085181.1,antisense,Gm12709
ENSMUSG00000028523.13,protein_coding,Tctex1d1
ENSMUSG00000085041.1,antisense,BB031773
ENSMUSG00000066090.5,protein_coding,Insl5
ENSMUSG00000035126.19,protein_coding,Wdr78
ENSMUSG00000028522.16,protein_coding,Mier1
ENSMUSG00000028521.17,protein_coding,Slc35d1
ENSMUSG00000107726.1,lincRNA,Gm44037
ENSMUSG00000028520.12,protein_coding,4921539E11Rik
ENSMUSG00000078618.3,lincRNA,4930456L15Rik
ENSMUSG00000035069.3,protein_coding,Oma1
ENSMUSG00000086136.1,lincRNA,Gm12718
ENSMUSG00000028519.16,protein_coding,Dab1
ENSMUSG00000029656.13,protein_coding,C8b
ENSMUSG00000035031.15,protein_coding,C8a
ENSMUSG00000095386.1,protein_coding,Gm17662
ENSMUSG00000078612.9,protein_coding,1700024P16Rik
ENSMUSG00000028518.8,protein_coding,Prkaa2
ENSMUSG00000028517.8,protein_coding,Plpp3
ENSMUSG00000085790.1,lincRNA,Gm12729
ENSMUSG00000086249.1,processed_transcript,Gm12724
ENSMUSG00000028514.15,protein_coding,Usp24
ENSMUSG00000044254.6,protein_coding,Pcsk9
ENSMUSG00000086172.1,antisense,2700068H02Rik
ENSMUSG00000034926.3,protein_coding,Dhcr24
ENSMUSG00000085023.1,antisense,Gm12744
ENSMUSG00000054362.9,protein_coding,Lexm
ENSMUSG00000034919.2,protein_coding,Ttc22
ENSMUSG00000043572.7,protein_coding,Pars2
ENSMUSG00000025413.13,protein_coding,Ttc4
ENSMUSG00000047502.14,protein_coding,Mroh7
ENSMUSG00000034871.2,protein_coding,Fam151a
ENSMUSG00000034853.16,protein_coding,Acot11
ENSMUSG00000086940.1,lincRNA,Gm12746
ENSMUSG00000061887.14,protein_coding,Ssbp3
ENSMUSG00000085581.1,antisense,Gm12786
ENSMUSG00000028622.11,protein_coding,Mrpl37
ENSMUSG00000028621.17,protein_coding,Cyb5rl
ENSMUSG00000047636.2,protein_coding,Cdcp2
ENSMUSG00000085304.1,antisense,Gm12802
ENSMUSG00000028619.15,protein_coding,Tceanc2
ENSMUSG00000028618.11,protein_coding,Tmem59
ENSMUSG00000070877.4,protein_coding,Ldlrad1
ENSMUSG00000028617.10,protein_coding,Lrrc42
ENSMUSG00000063172.13,protein_coding,Hspb11
ENSMUSG00000082941.1,processed_pseudogene,Gm12850
ENSMUSG00000034785.14,protein_coding,Dio1
ENSMUSG00000057375.13,protein_coding,Yipf1
ENSMUSG00000028614.14,protein_coding,Ndc1
ENSMUSG00000034762.9,protein_coding,Glis1
ENSMUSG00000028610.16,protein_coding,Dmrtb1
ENSMUSG00000085549.7,lincRNA,1700047F07Rik
ENSMUSG00000087200.1,bidirectional_promoter_lncRNA,Lrp8os3
ENSMUSG00000028613.14,protein_coding,Lrp8
ENSMUSG00000073779.7,antisense,Lrp8os2
ENSMUSG00000028609.6,protein_coding,Magoh
ENSMUSG00000028608.15,protein_coding,0610037L13Rik
ENSMUSG00000028607.16,protein_coding,Cpt2
ENSMUSG00000086713.1,lincRNA,4930407G08Rik
ENSMUSG00000008932.9,protein_coding,Slc1a7
ENSMUSG00000028600.15,protein_coding,Podn
ENSMUSG00000028603.15,protein_coding,Scp2
ENSMUSG00000028601.18,protein_coding,Echdc2
ENSMUSG00000034645.13,protein_coding,Zyg11a
ENSMUSG00000034636.9,protein_coding,Zyg11b
ENSMUSG00000048351.14,protein_coding,Coa7
ENSMUSG00000059816.5,protein_coding,Fam159a
ENSMUSG00000028597.11,protein_coding,Gpx7
ENSMUSG00000034610.14,protein_coding,Zcchc11
ENSMUSG00000083783.1,processed_pseudogene,Gm12739
ENSMUSG00000065299.1,snRNA,Gm23138
ENSMUSG00000085093.1,sense_intronic,Gm12737
ENSMUSG00000063800.5,protein_coding,Prpf38a
ENSMUSG00000028587.18,protein_coding,Orc1
ENSMUSG00000084968.1,processed_transcript,Gm12743
ENSMUSG00000028582.14,protein_coding,Cc2d1b
ENSMUSG00000102912.1,TEC,Gm20731
ENSMUSG00000091985.1,lincRNA,Gm17354
ENSMUSG00000034557.14,protein_coding,Zfyve9
ENSMUSG00000094958.1,protein_coding,3110021N24Rik
ENSMUSG00000028568.16,protein_coding,Btf3l4
ENSMUSG00000028567.8,protein_coding,Txndc12
ENSMUSG00000090551.1,protein_coding,A730015C16Rik
ENSMUSG00000073775.4,protein_coding,Kti12
ENSMUSG00000003411.10,protein_coding,Rab3b
ENSMUSG00000086483.1,antisense,8030443G20Rik
ENSMUSG00000053510.12,protein_coding,Nrd1
ENSMUSG00000028559.17,protein_coding,Osbpl9
ENSMUSG00000028558.14,protein_coding,Calr4
ENSMUSG00000028552.13,protein_coding,Eps15
ENSMUSG00000085873.1,antisense,Ttc39aos1
ENSMUSG00000028555.15,protein_coding,Ttc39a
ENSMUSG00000028557.10,protein_coding,Rnf11
ENSMUSG00000060491.14,protein_coding,4930522H14Rik
ENSMUSG00000087641.1,processed_transcript,Gm12811
ENSMUSG00000059027.14,processed_transcript,9630013D21Rik
ENSMUSG00000028551.14,protein_coding,Cdkn2c
ENSMUSG00000010517.7,protein_coding,Faf1
ENSMUSG00000085256.1,antisense,Dmrta2os
ENSMUSG00000047143.3,protein_coding,Dmrta2
ENSMUSG00000028546.17,protein_coding,Elavl4
ENSMUSG00000061298.14,protein_coding,Agbl4
ENSMUSG00000028545.13,protein_coding,Bend5
ENSMUSG00000034401.16,protein_coding,Spata6
ENSMUSG00000028544.14,protein_coding,Slc5a9
ENSMUSG00000078599.9,protein_coding,Skint8
ENSMUSG00000055960.12,protein_coding,Skint4
ENSMUSG00000070868.11,protein_coding,Skint3
ENSMUSG00000049972.4,protein_coding,Skint9
ENSMUSG00000034359.16,protein_coding,Skint2
ENSMUSG00000083753.1,unprocessed_pseudogene,Gm12814
ENSMUSG00000048766.6,protein_coding,Skint10
ENSMUSG00000087194.9,protein_coding,Skint6
ENSMUSG00000085878.1,antisense,Gm12823
ENSMUSG00000078598.11,protein_coding,Skint5
ENSMUSG00000057977.10,protein_coding,Skint11
ENSMUSG00000070867.4,protein_coding,Trabd2b
ENSMUSG00000085870.1,lincRNA,Gm12829
ENSMUSG00000085323.1,antisense,9130410C08Rik
ENSMUSG00000055198.3,protein_coding,Gm12830
ENSMUSG00000087923.1,snRNA,Gm23230
ENSMUSG00000055210.4,protein_coding,Foxd2
ENSMUSG00000085399.7,processed_transcript,Foxd2os
ENSMUSG00000028719.8,protein_coding,Cmpk1
ENSMUSG00000065047.1,misc_RNA,Gm24045
ENSMUSG00000028718.16,protein_coding,Stil
ENSMUSG00000028717.12,protein_coding,Tal1
ENSMUSG00000028716.15,protein_coding,Pdzk1ip1
ENSMUSG00000047155.13,protein_coding,Cyp4x1
ENSMUSG00000066071.6,protein_coding,Cyp4a12a
ENSMUSG00000083190.1,unprocessed_pseudogene,Cyp4a30-ps
ENSMUSG00000083457.1,unprocessed_pseudogene,Cyp4b1-ps2
ENSMUSG00000028713.17,protein_coding,Cyp4b1
ENSMUSG00000034210.13,protein_coding,Efcab14
ENSMUSG00000044556.3,protein_coding,Tex38
ENSMUSG00000028710.16,protein_coding,Atpaf1
ENSMUSG00000085249.1,lincRNA,Gm12847
ENSMUSG00000028709.3,protein_coding,Mob3c
ENSMUSG00000028708.16,protein_coding,Mknk1
ENSMUSG00000073774.2,protein_coding,Kncn
ENSMUSG00000034185.9,protein_coding,6430628N08Rik
ENSMUSG00000028707.15,protein_coding,Dmbx1
ENSMUSG00000034171.13,protein_coding,Faah
ENSMUSG00000028706.14,protein_coding,Nsun4
ENSMUSG00000063882.12,protein_coding,Uqcrh
ENSMUSG00000028703.14,protein_coding,Lrrc41
ENSMUSG00000028702.15,protein_coding,Rad54l
ENSMUSG00000028700.14,protein_coding,Pomgnt1
ENSMUSG00000028701.4,protein_coding,Lurap1
ENSMUSG00000028699.9,protein_coding,Tspan1
ENSMUSG00000111410.1,protein_coding,RP23-276M23.6
ENSMUSG00000028698.13,protein_coding,Pik3r3
ENSMUSG00000003810.12,protein_coding,Mast2
ENSMUSG00000028696.12,protein_coding,Ipp
ENSMUSG00000055900.14,protein_coding,Tmem69
ENSMUSG00000087299.1,antisense,Gm12953
ENSMUSG00000034042.16,protein_coding,Gpbp1l1
ENSMUSG00000085408.1,processed_transcript,C530005A16Rik
ENSMUSG00000034035.18,protein_coding,Ccdc17
ENSMUSG00000028693.15,protein_coding,Nasp
ENSMUSG00000028692.14,protein_coding,Akr1a1
ENSMUSG00000028691.12,protein_coding,Prdx1
ENSMUSG00000028690.4,protein_coding,Mmachc
ENSMUSG00000028689.14,protein_coding,Ccdc163
ENSMUSG00000033985.17,protein_coding,Tesk2
ENSMUSG00000028688.13,protein_coding,Toe1
ENSMUSG00000028687.17,protein_coding,Mutyh
ENSMUSG00000043155.4,protein_coding,Hpdl
ENSMUSG00000086417.1,antisense,Gm12996
ENSMUSG00000033948.3,protein_coding,Zswim5
ENSMUSG00000088845.1,snRNA,Gm26355
ENSMUSG00000088902.1,misc_RNA,Gm25435
ENSMUSG00000028684.14,protein_coding,Urod
ENSMUSG00000046861.9,protein_coding,Hectd3
ENSMUSG00000028683.14,protein_coding,Eif2b3
ENSMUSG00000028681.11,protein_coding,Ptch2
ENSMUSG00000073771.11,protein_coding,Btbd19
ENSMUSG00000047671.8,protein_coding,Tctex1d4
ENSMUSG00000028680.14,protein_coding,Plk3
ENSMUSG00000047675.15,protein_coding,Rps8
ENSMUSG00000028678.13,protein_coding,Kif2c
ENSMUSG00000095676.1,snRNA,Gm25099
ENSMUSG00000060268.11,protein_coding,Gm1661
ENSMUSG00000048772.15,protein_coding,Tmem53
ENSMUSG00000028677.18,protein_coding,Rnf220
ENSMUSG00000085749.1,antisense,Gm12843
ENSMUSG00000086876.1,antisense,Gm12828
ENSMUSG00000087228.1,lincRNA,Gm12827
ENSMUSG00000033423.16,protein_coding,Eri3
ENSMUSG00000009640.11,protein_coding,Dmap1
ENSMUSG00000028542.17,protein_coding,Slc6a9
ENSMUSG00000091237.1,3prime_overlapping_ncRNA,Gm17114
ENSMUSG00000078588.10,protein_coding,Ccdc24
ENSMUSG00000028541.14,protein_coding,B4galt2
ENSMUSG00000085278.1,antisense,Gm12841
ENSMUSG00000033379.13,protein_coding,Atp6v0b
ENSMUSG00000028540.6,protein_coding,Dph2
ENSMUSG00000033365.14,protein_coding,Ipo13
ENSMUSG00000028539.14,protein_coding,Artn
ENSMUSG00000028538.12,protein_coding,St3gal3
ENSMUSG00000086554.1,antisense,9530034E10Rik
ENSMUSG00000033326.15,protein_coding,Kdm4a
ENSMUSG00000033295.13,protein_coding,Ptprf
ENSMUSG00000006395.16,polymorphic_pseudogene,Hyi
ENSMUSG00000033253.18,protein_coding,Szt2
ENSMUSG00000006392.16,protein_coding,Med8
ENSMUSG00000006390.15,protein_coding,Elovl1
ENSMUSG00000006398.15,protein_coding,Cdc20
ENSMUSG00000006389.13,protein_coding,Mpl
ENSMUSG00000033191.14,protein_coding,Tie1
ENSMUSG00000028536.12,protein_coding,2610528J11Rik
ENSMUSG00000050854.9,protein_coding,Tmem125
ENSMUSG00000028730.14,protein_coding,Cfap57
ENSMUSG00000028729.15,protein_coding,Ebna1bp2
ENSMUSG00000095218.2,protein_coding,Olfr1338
ENSMUSG00000111259.1,protein_coding,Olfr1328
ENSMUSG00000085895.1,processed_transcript,Gm12861
ENSMUSG00000087238.1,lincRNA,Gm12865
ENSMUSG00000066060.5,lincRNA,Gm12866
ENSMUSG00000028645.11,protein_coding,Slc2a1
ENSMUSG00000088552.1,miRNA,Mir1957a
ENSMUSG00000085505.1,antisense,Gm12868
ENSMUSG00000045268.13,protein_coding,Zfp691
ENSMUSG00000028644.16,protein_coding,Ermap
ENSMUSG00000028643.11,protein_coding,Svbp
ENSMUSG00000078584.9,protein_coding,AU022252
ENSMUSG00000028642.7,protein_coding,4930538K18Rik
ENSMUSG00000085626.1,processed_transcript,Gm12898
ENSMUSG00000028641.16,protein_coding,P3h1
ENSMUSG00000085203.1,antisense,Gm12927
ENSMUSG00000066058.11,protein_coding,Cldn19
ENSMUSG00000028639.14,protein_coding,Ybx1
ENSMUSG00000060288.13,protein_coding,Ppih
ENSMUSG00000028637.15,protein_coding,Ccdc30
ENSMUSG00000028636.14,protein_coding,Ppcs
ENSMUSG00000070806.5,protein_coding,Zmynd12
ENSMUSG00000048899.8,protein_coding,Rimkla
ENSMUSG00000087385.8,protein_coding,AA415398
ENSMUSG00000032998.16,protein_coding,Foxj3
ENSMUSG00000028634.16,protein_coding,Hivep3
ENSMUSG00000028635.7,protein_coding,Edn2
ENSMUSG00000052135.8,protein_coding,Foxo6
ENSMUSG00000084929.1,antisense,Foxo6os
ENSMUSG00000000085.16,protein_coding,Scmh1
ENSMUSG00000028633.7,protein_coding,Ctps
ENSMUSG00000091297.1,protein_coding,Gm8439
ENSMUSG00000086187.1,lincRNA,Gm12860
ENSMUSG00000110389.1,lincRNA,Gm45579
ENSMUSG00000070803.6,protein_coding,Cited4
ENSMUSG00000028631.7,protein_coding,Kcnq4
ENSMUSG00000032897.17,protein_coding,Nfyc
ENSMUSG00000032890.17,protein_coding,Rims3
ENSMUSG00000028629.9,protein_coding,Exo5
ENSMUSG00000064141.14,protein_coding,Zfp69
ENSMUSG00000032870.8,protein_coding,Smap2
ENSMUSG00000106436.1,miRNA,Mir7015
ENSMUSG00000028626.5,protein_coding,Col9a2
ENSMUSG00000043207.10,protein_coding,Zmpste24
ENSMUSG00000088168.1,snRNA,Gm23540
ENSMUSG00000049878.12,protein_coding,Rlf
ENSMUSG00000083679.1,processed_pseudogene,Gm12892
ENSMUSG00000083109.3,unprocessed_pseudogene,Gm12876
ENSMUSG00000028657.14,protein_coding,Ppt1
ENSMUSG00000028656.14,protein_coding,Cap1
ENSMUSG00000028655.11,protein_coding,Mfsd2a
ENSMUSG00000086443.1,processed_transcript,4933421A08Rik
ENSMUSG00000028654.13,protein_coding,Mycl
ENSMUSG00000028653.16,protein_coding,Trit1
ENSMUSG00000002384.2,protein_coding,Bmp8b
ENSMUSG00000102997.1,TEC,Gm17244
ENSMUSG00000028651.12,protein_coding,Ppie
ENSMUSG00000046093.9,protein_coding,Hpcal4
ENSMUSG00000054958.6,protein_coding,Nt5c1a
ENSMUSG00000032744.4,protein_coding,Heyl
ENSMUSG00000083720.1,processed_pseudogene,Gm12901
ENSMUSG00000011257.19,protein_coding,Pabpc4
ENSMUSG00000082634.1,processed_pseudogene,Gm12900
ENSMUSG00000064655.1,snoRNA,Gm25788
ENSMUSG00000032726.12,protein_coding,Bmp8a
ENSMUSG00000028649.17,protein_coding,Macf1
ENSMUSG00000081528.1,processed_pseudogene,Gm12924
ENSMUSG00000099005.1,miRNA,Mir6398
ENSMUSG00000087307.1,antisense,Gm12925
ENSMUSG00000081170.1,processed_pseudogene,Gm12922
ENSMUSG00000028648.13,protein_coding,Ndufs5
ENSMUSG00000023075.9,protein_coding,Akirin1
ENSMUSG00000043333.12,protein_coding,Rhbdl2
ENSMUSG00000086275.1,antisense,1700121C08Rik
ENSMUSG00000097337.1,lincRNA,Gm26606
ENSMUSG00000054304.3,pseudogene,D130007C19Rik
ENSMUSG00000028647.13,protein_coding,Mycbp
ENSMUSG00000085875.2,antisense,Gm12905
ENSMUSG00000028646.16,protein_coding,Rragc
ENSMUSG00000082515.1,processed_pseudogene,Gm12902
ENSMUSG00000086955.1,lincRNA,1700021L23Rik
ENSMUSG00000084757.7,lincRNA,1700057H15Rik
ENSMUSG00000098760.1,antisense,Gm27247
ENSMUSG00000073759.6,lincRNA,4933407E24Rik
ENSMUSG00000051219.2,protein_coding,3100002H09Rik
ENSMUSG00000090125.3,protein_coding,Pou3f1
ENSMUSG00000028907.7,protein_coding,Utp11l
ENSMUSG00000032643.12,protein_coding,Fhl3
ENSMUSG00000028902.4,protein_coding,Sf3a3
ENSMUSG00000083104.1,processed_pseudogene,Gm12917
ENSMUSG00000086589.1,processed_transcript,Gm12915
ENSMUSG00000028894.18,protein_coding,Inpp5b
ENSMUSG00000028890.13,protein_coding,Mtf1
ENSMUSG00000078570.10,protein_coding,1110065P20Rik
ENSMUSG00000028889.17,protein_coding,Yrdc
ENSMUSG00000042763.9,protein_coding,Maneal
ENSMUSG00000028876.7,protein_coding,Epha10
ENSMUSG00000085263.1,antisense,1700125G02Rik
ENSMUSG00000028873.16,protein_coding,Cdca8
ENSMUSG00000044730.15,processed_transcript,9930104L06Rik
ENSMUSG00000087011.1,antisense,Gm12930
ENSMUSG00000028871.7,protein_coding,Rspo1
ENSMUSG00000028869.13,protein_coding,Gnl2
ENSMUSG00000080934.1,processed_pseudogene,Gm12931
ENSMUSG00000042707.6,protein_coding,Dnali1
ENSMUSG00000050213.6,protein_coding,Snip1
ENSMUSG00000086342.1,antisense,Gm12932
ENSMUSG00000028863.13,protein_coding,Meaf6
ENSMUSG00000042677.7,protein_coding,Zc3h12a
ENSMUSG00000087010.1,lincRNA,1700041M05Rik
ENSMUSG00000001985.9,protein_coding,Grik3
ENSMUSG00000082062.1,processed_pseudogene,Ftl2-ps
ENSMUSG00000085562.7,lincRNA,2610028E06Rik
ENSMUSG00000028859.14,protein_coding,Csf3r
ENSMUSG00000028861.13,protein_coding,Mrps15
ENSMUSG00000042616.7,protein_coding,Oscp1
ENSMUSG00000079942.5,processed_pseudogene,Rpl28-ps3
ENSMUSG00000050188.8,protein_coding,Lsm10
ENSMUSG00000042608.15,protein_coding,Stk40
ENSMUSG00000050212.4,protein_coding,Eva1b
ENSMUSG00000073758.10,protein_coding,Sh3d21
ENSMUSG00000043962.16,protein_coding,Thrap3
ENSMUSG00000028849.17,protein_coding,Map7d1
ENSMUSG00000028847.8,protein_coding,Trappc3
ENSMUSG00000056174.8,protein_coding,Col8a2
ENSMUSG00000042558.16,protein_coding,Adprhl2
ENSMUSG00000028845.15,protein_coding,Tekt2
ENSMUSG00000028842.15,protein_coding,Ago3
ENSMUSG00000041530.16,protein_coding,Ago1
ENSMUSG00000042500.11,protein_coding,Ago4
ENSMUSG00000082888.1,processed_pseudogene,Gm12934
ENSMUSG00000042489.15,protein_coding,Clspn
ENSMUSG00000073755.4,protein_coding,5730409E04Rik
ENSMUSG00000028837.8,protein_coding,Psmb2
ENSMUSG00000042477.7,protein_coding,Tfap2e
ENSMUSG00000028833.13,protein_coding,Ncdn
ENSMUSG00000028830.14,protein_coding,AU040320
ENSMUSG00000082498.1,processed_pseudogene,Gm12937
ENSMUSG00000042446.16,protein_coding,Zmym4
ENSMUSG00000028820.13,protein_coding,Sfpq
ENSMUSG00000085334.7,processed_transcript,Gm12940
ENSMUSG00000043872.14,protein_coding,Zmym1
ENSMUSG00000042408.13,protein_coding,Zmym6
ENSMUSG00000070737.10,protein_coding,Tmem35b
ENSMUSG00000042388.14,protein_coding,Dlgap3
ENSMUSG00000042380.8,protein_coding,Smim12
ENSMUSG00000050234.7,protein_coding,Gja4
ENSMUSG00000042367.12,protein_coding,Gjb3
ENSMUSG00000042357.2,protein_coding,Gjb5
ENSMUSG00000087470.1,lincRNA,A630031M04Rik
ENSMUSG00000028813.2,protein_coding,CK137956
ENSMUSG00000028804.19,protein_coding,Csmd2
ENSMUSG00000087459.8,antisense,Csmd2os
ENSMUSG00000085717.1,antisense,Hmgb4os
ENSMUSG00000061894.15,protein_coding,Zscan20
ENSMUSG00000062545.4,protein_coding,Tlr12
ENSMUSG00000028796.17,protein_coding,Phc2
ENSMUSG00000028794.13,protein_coding,A3galt2
ENSMUSG00000028799.15,protein_coding,Zfp362
ENSMUSG00000085701.1,lincRNA,Gm12968
ENSMUSG00000041000.8,protein_coding,Trim62
ENSMUSG00000028789.16,protein_coding,Azin2
ENSMUSG00000085961.1,antisense,Gm15904
ENSMUSG00000028792.14,protein_coding,Ak2
ENSMUSG00000085085.2,lincRNA,1700086P04Rik
ENSMUSG00000028793.15,protein_coding,Rnf19b
ENSMUSG00000028786.15,protein_coding,Tmem54
ENSMUSG00000028785.12,protein_coding,Hpca
ENSMUSG00000087416.1,lincRNA,Gm15906
ENSMUSG00000001334.9,protein_coding,Fndc5
ENSMUSG00000040928.15,protein_coding,S100pbp
ENSMUSG00000028811.11,protein_coding,Yars
ENSMUSG00000050390.12,protein_coding,C77080
ENSMUSG00000087575.7,lincRNA,Gm12976
ENSMUSG00000001333.9,protein_coding,Sync
ENSMUSG00000057236.10,protein_coding,Rbbp4
ENSMUSG00000096944.1,lincRNA,Gm26722
ENSMUSG00000057572.15,protein_coding,Zbtb8os
